ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
21934901,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Ryan Schain,2015-12-12,2015,12,12,851,United States,US-FL-087,Florida,Monroe,Sombrero Beach and Road,24.6926648,-81.0826635,"",,Unspecified,"","",,,,,,,S26260883,"",,,,,Streptopelia decaocto,eucdov,Species,2051,,4.96,71,,2746,4951
262654081,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Miguel Rouco,2020-09-11,2020,9,11,1833,Spain,ES-EX-BD,Extremadura,Badajoz,Villanueva del Fresno--Llanos de Cuncos,38.4161652,-7.2547182,"",,Unspecified,"","",,,,,,,S73576332,"",,,,,Streptopelia decaocto,eucdov,Species,2051,,4.82,57,,1667,2500
615710649,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Diana Schmies,2024-03-06,2024,3,6,816,Czech Republic,CZ-JM,Jihomoravský kraj,,Brno - Botanická / Klatovská,49.2100780,16.5966270,"",Nest Building,Unspecified,"","",,,,,,,S163867654,"",,,carrying nesting material,carrying nesting material,Streptopelia decaocto,eucdov,Species,2051,,4.96,28,"",2190,3285
208765181,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Jim Merritt,2020-02-11,2020,2,11,816,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S64381142,"",,,,,Streptopelia decaocto,eucdov,Species,2051,,4.57,63,,7802,10000
438781001,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Steve Wickliffe,2022-04-22,2022,4,22,1240,United States,US-MT-023,Montana,Deer Lodge,Bowman and Willow Roads Anaconda US-MT ,46.2594440,-112.7728780,Adult – 1,,Unspecified,"","",,,,,,,S107717737,"",,,,,Streptopelia decaocto,eucdov,Species,2051,,5.00,16,,2992,3989
26520931,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,David Hollie,2013-05-12,2013,5,12,805,United States,US-FL-087,Florida,Monroe,Fort Zachary Taylor Historic SP,24.5463000,-81.8106000,"","",Unspecified,"","",,,,,,,S14085451,"",,,,,Streptopelia decaocto,eucdov,Species,2051,,4.29,176,Habitat,2360,3540
262458741,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Santiago Caballero Carrera,2020-09-13,2020,9,13,1050,Spain,ES-AN-MG,Andalucía,Málaga,Ronda (Los Prados),36.8309507,-5.1299326,Immature – 1,,Unspecified,"","",,,,,,,S73557934,"",,,,,Streptopelia decaocto,eucdov,Species,2051,,4.43,51,,3600,5400
285285561,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Jim Merritt,2020-12-01,2020,12,1,718,United States,US-CO-041,Colorado,El Paso,Red Rock Canyon Open Space,38.8473432,-104.8811263,"",,Unspecified,"","",,,,,,,S76935565,"",,,,,Streptopelia decaocto,eucdov,Species,2051,,4.57,28,,2111,3503
504446851,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Matt Mason,2022-11-08,2022,11,8,1350,United States,US-TX-061,Texas,Cameron,South Padre Is.--Birding and Nature Center,26.1374628,-97.1739367,"",,Unspecified,"","",,,,,,,S122107843,"",,,,,Streptopelia decaocto,eucdov,Species,2051,,4.47,34,,2866,4320
285639681,Photo,Eurasian Collared-Dove,Streptopelia decaocto,,Pablo Pozo 🦅,2019-07-29,2019,7,29,0,Spain,ES-EX-BD,Extremadura,Badajoz,Villarta de los Montes--Pueblo,39.2136957,-4.7947905,"",,Unspecified,"","",,,,,,,S70069255,"",,,,,Streptopelia decaocto,eucdov,Species,2051,,4.40,43,,1782,2400
