ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
614714610,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,Alexis Lours,2023-10-06,2023,10,6,1419,France,FR-IDF-95,Île-de-France,"Val-d'Oise",Bois des Éboulures (Franconville),48.9968754,2.2111326,Adult – 1,Carrying Food,Unspecified,"","",,,,,,,S161277061,"",,,,,Garrulus glandarius,eurjay2,Group,20949,,4.64,14,"",2061,3092
205138831,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,Josep del Hoyo,2019-05-18,2019,5,18,0,Bulgaria,BG-08,Dobrich,,Ognyanovo,43.9060000,27.6614000,Unknown – 1,,Unspecified,"","",,IBC1607206,,,,,S64823144,"",,,"A bird in a tree. Videograb. Elevation: 170 m. Date added to IBC: August 25, 2019.",IBC scientific name: Garrulus glandarius ferdinandi.,Garrulus glandarius,eurjay2,Group,20949,,4.44,9,,2160,3840
204809441,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,martin achtman,2017-03-04,2017,3,4,0,Germany,DE-BE-B1,Berlin,Berlin (Kreisfreie Stadt),"Berlin (52.5734, 13.3865)",52.5734000,13.3865000,"",,Unspecified,"","",,IBC1339095,,,,,S65002042,"",,,"tree climbing . Elevation: 45 m. Date added to IBC: March 5, 2017.",IBC scientific name: Garrulus glandarius glandarius.,Garrulus glandarius,eurjay2,Group,20949,,4.83,6,,3456,4608
609355910,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,Magnus Andersson,2023-09-27,2023,9,27,731,United Kingdom,GB-ENG-LND,England,London,Hampstead Heath,51.5618116,-0.1633787,Adult – 1,"Carrying Food; Flying",Unspecified,"","",,,,,,,S150873074,"",,,Jay carrying acorns in its beak and crop.,,Garrulus glandarius,eurjay2,Group,20949,,4.83,6,"",1023,1535
204660941,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,Lukasz Pulawski,2015-06-11,2015,6,11,0,Poland,PL-MZ,Mazowieckie,,"Warsaw (52.2161, 21.0333)",52.2161000,21.0333000,"",,Unspecified,"","",,IBC1521585,,,,,S64988092,"",,,"Frontal view. Elevation: 84 m. Date added to IBC: October 9, 2018.",IBC scientific name: Garrulus glandarius glandarius.,Garrulus glandarius,eurjay2,Group,20949,,5.00,5,,3120,4254
204809451,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,martin achtman,2017-03-04,2017,3,4,0,Germany,DE-BE-B1,Berlin,Berlin (Kreisfreie Stadt),"Berlin (52.5756, 13.3846)",52.5756000,13.3846000,"",,Unspecified,"","",,IBC1339096,,,,,S65002044,"",,,"Perched on tree . Elevation: 44 m. Date added to IBC: March 5, 2017.",IBC scientific name: Garrulus glandarius glandarius.,Garrulus glandarius,eurjay2,Group,20949,,5.00,4,,3456,4608
204661001,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,Lukasz Pulawski,2017-06-28,2017,6,28,0,Poland,PL-PD,Podlaskie,,"Mokrad?a Kolne?skie i Kurpiowskie (53.4096, 21.7749)",53.4096000,21.7749000,Juvenile – 1,,Unspecified,"","",,IBC1521591,,,,,S64998108,"",,,"Juvenile bird. Elevation: 118 m. Date added to IBC: October 9, 2018.",IBC scientific name: Garrulus glandarius glandarius.,Garrulus glandarius,eurjay2,Group,20949,,5.00,4,,3313,4640
204660951,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,Lukasz Pulawski,2015-06-11,2015,6,11,0,Poland,PL-MZ,Mazowieckie,,"Warsaw (52.2164, 21.0315)",52.2164000,21.0315000,Unknown – 1,,Unspecified,"","",,IBC1521586,,,,,S64988093,"",,,"Lateral view. Elevation: 85 m. Date added to IBC: October 9, 2018.",IBC scientific name: Garrulus glandarius glandarius.,Garrulus glandarius,eurjay2,Group,20949,,5.00,4,,3193,4367
204398591,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,Stanislav Harvančík,2017-04-30,2017,4,30,0,Slovakia,SK-TC,Trenciansky kraj,,"Tren?ín Region (48.6637, 18.4848)",48.6637000,18.4848000,Adult – 1,,Unspecified,"","",,IBC1373313,,,,,S64956374,"",,,"adult bird. Elevation: 215 m. Date added to IBC: May 1, 2017.",IBC scientific name: Garrulus glandarius glandarius.,Garrulus glandarius,eurjay2,Group,20949,,5.00,4,,533,800
204204041,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,Josef Widmer,2017-09-16,2017,9,16,0,Switzerland,CH-VS,Wallis,,"Valais Canton (46.1795, 7.2967)",46.1795000,7.2967000,Adult – 1,,Unspecified,"","",,IBC1411237,,,,,S64968436,"",,,"Adult bird perched. Elevation: 1364 m. Date added to IBC: September 18, 2017.",IBC scientific name: Garrulus glandarius glandarius.,Garrulus glandarius,eurjay2,Group,20949,,5.00,4,,1216,1824
205052111,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,Josep del Hoyo,2016-01-31,2016,1,31,0,Spain,ES-CT-GN,Cataluña,Girona,Sant Esteve de Guialbes--Can Teixó,42.1160441,2.8766786,"",,Unspecified,"","",,IBC1313162,,,,,S64822993,"",,,"A bird drinking from a high perch. Videograb. Elevation: 180 m. Date added to IBC: December 17, 2016.",IBC scientific name: Garrulus glandarius fasciatus.,Garrulus glandarius,eurjay2,Group,20949,,4.33,6,,1080,1920
205046651,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,Josep del Hoyo,2015-05-04,2015,5,4,0,Hungary,HU-CS,Csongrád,,"Bence's Farm",46.5313000,20.0619000,Adult – 1,,Unspecified,"","",,IBC1090338,,,,,S64822029,"",,,"A close-up of an adult bird. Elevation: 79 m. Date added to IBC: June 22, 2016.",IBC scientific name: Garrulus glandarius glandarius.,Garrulus glandarius,eurjay2,Group,20949,,4.33,6,,2160,2976
204343851,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,Maurizio Ravasini,1983-06-10,1983,6,10,0,Italy,IT-45,Emilia-Romagna,,"Parma (44.8808, 10.2717)",44.8808000,10.2717000,"","",Unspecified,"","",,IBC1085238,,,,,S64978764,"",,,"Nest with chicks. Elevation: 35 m. Date added to IBC: June 22, 2016.",IBC scientific name: Garrulus glandarius glandarius.,Garrulus glandarius,eurjay2,Group,20949,,4.43,7,Nest,800,1200
205552581,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,Nicholas Talbot,2019-04-23,2019,4,23,0,United Kingdom,GB-ENG-LND,England,London,Gillespie Park,51.5589000,-0.1060000,"",,Unspecified,"","",,IBC1579702,,,,,S65113250,"",,,"A bird perching in a tree. Elevation: 29 m. Date added to IBC: April 24, 2019.",IBC scientific name: Garrulus glandarius rufitergum.,Garrulus glandarius,eurjay2,Group,20949,,4.20,5,,3142,2738
205422061,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,AlDeb Casanova,2012-10-14,2012,10,14,0,United Kingdom,GB-ENG-CHS,England,Cheshire,"Cheshire (53.2159, -2.59)",53.2159000,-2.5900000,"",,Unspecified,"","",,IBC1009360,,,,,S65130579,"",,,"With stolen bread before magpie chased it off. Elevation: 75 m. Date added to IBC: June 21, 2016.",IBC scientific name: Garrulus glandarius rufitergum.,Garrulus glandarius,eurjay2,Group,20949,,4.20,5,,926,1500
205361041,Photo,Eurasian Jay (Eurasian),Garrulus glandarius [glandarius Group],,Fran Trabalon,2012-06-07,2012,6,7,0,Spain,ES-CT-GN,Cataluña,Girona,Girona Province,42.0289000,2.6381000,"",,Unspecified,"","",,IBC1006368,,,,,S65114925,"",,,"Taking a bath on a pond. Elevation: 492 m. Date added to IBC: June 21, 2016.",IBC scientific name: Garrulus glandarius fasciatus.,Garrulus glandarius,eurjay2,Group,20949,,4.20,5,,563,750
