ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
430230401,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2022-03-30,2022,3,30,937,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S105879215,"",,,,,Pica pica,eurmag4,Group,21078,,4.78,50,,3648,5472
615588061,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2024-03-03,2024,3,3,1153,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S163530658,"",,,,,Pica pica,eurmag4,Group,21078,,4.96,27,,4081,6122
427971511,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2022-03-23,2022,3,23,1039,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S105427015,"",,,,,Pica pica,eurmag4,Group,21078,,4.81,36,,3648,5472
610013957,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2023-10-15,2023,10,15,1314,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,Flying,Unspecified,"","",,,,,,,S152293084,"",,,,,Pica pica,eurmag4,Group,21078,,4.92,24,"",3635,5453
434422761,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2022-04-10,2022,4,10,840,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S106674901,"",,,,,Pica pica,eurmag4,Group,21078,,4.67,45,,3648,5472
610893363,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2023-11-08,2023,11,8,1213,France,FR-IDF-95,Île-de-France,"Val-d'Oise",Bois des Éboulures (Franconville),48.9968754,2.2111326,Adult – 1,,Unspecified,"","",,,,,,,S153999837,"",,,,,Pica pica,eurmag4,Group,21078,,4.88,24,,4640,6960
609754454,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2023-10-09,2023,10,9,1200,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S151789584,"",,,,,Pica pica,eurmag4,Group,21078,,4.83,24,,4274,6411
615461713,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2023-10-06,2023,10,6,910,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S151569207,"",,,,,Pica pica,eurmag4,Group,21078,,4.70,20,,3698,5547
65220561,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Christoph Moning,2010-06-12,2010,6,12,0,Hungary,HU-HB,Hajdú-Bihar,,Old Lakes of Hortobágy fishponds--Hortobágyi-halastó,47.6290742,21.0786438,Juvenile,,Unspecified,"","",,,,,,,S38483800,"",,,,,Pica pica,eurmag4,Group,21078,,4.54,24,,1750,2624
609986290,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2023-10-15,2023,10,15,1314,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S152293084,"",,,,,Pica pica,eurmag4,Group,21078,,4.73,15,,3429,5143
440733021,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2022-04-15,2022,4,15,1532,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S107096761,"",,,,,Pica pica,eurmag4,Group,21078,,4.55,22,,3335,5003
615641261,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2024-03-03,2024,3,3,1153,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S163530658,"",,,,,Pica pica,eurmag4,Group,21078,,5.00,10,,4261,6391
615588062,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2024-03-03,2024,3,3,1153,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S163530658,"",,,,,Pica pica,eurmag4,Group,21078,,5.00,8,,4640,6960
610249370,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2023-10-22,2023,10,22,912,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S152803027,"",,,,,Pica pica,eurmag4,Group,21078,,5.00,8,,4640,6960
438522931,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],Chroicocephalus ridibundus -- Black-headed Gull,Alexis Lours,2022-04-22,2022,4,22,1017,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S107675341,"",,,,,Pica pica,eurmag4,Group,21078,,4.78,9,,3323,4984
440539871,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2022-04-22,2022,4,22,1017,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,Foraging or Eating,Unspecified,"","",,,,,,,S107675341,"",,,,,Pica pica,eurmag4,Group,21078,,5.00,7,"",3648,5472
615250782,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2024-02-24,2024,2,24,1025,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S162711663,"",,,,,Pica pica,eurmag4,Group,21078,,4.86,7,,2222,3333
438124071,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2022-04-15,2022,4,15,1532,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S107096761,"",,,,,Pica pica,eurmag4,Group,21078,,4.60,10,,3172,4758
429517851,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2022-03-25,2022,3,25,1322,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S105540322,"",,,,,Pica pica,eurmag4,Group,21078,,4.60,10,,3143,4714
615701625,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2024-03-03,2024,3,3,1153,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S163530658,"",,,,,Pica pica,eurmag4,Group,21078,,5.00,6,,4640,6960
611796681,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2023-12-02,2023,12,2,1252,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S155576900,"",,,,,Pica pica,eurmag4,Group,21078,,5.00,6,,4191,6287
615701628,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Alexis Lours,2024-03-03,2024,3,3,1153,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S163530658,"",,,,,Pica pica,eurmag4,Group,21078,,5.00,5,,4640,6960
527413491,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Kuzey Cem Kulaçoğlu,2021-01-25,2021,1,25,1605,Türkiye,TR-06,Ankara,,"Atakent Sitesi, İncek",39.8270832,32.7425492,"",,Unspecified,"","",,,,,,,S79742717,"",,,,,Pica pica,eurmag4,Group,21078,,5.00,5,,1080,1920
536381981,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Tomáš Grim,2022-12-28,2022,12,28,837,Czech Republic,CZ-JC,Jihočeský kraj,,Jihočeská Univerzita - University of South Bohemia,48.9780728,14.4499342,Adult – 1,Flying,Unspecified,"","",,,,,,,S124748921,"",,,,,Pica pica,eurmag4,Group,21078,,4.67,6,"",1864,2796
467349351,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Tomáš Grim,2022-06-25,2022,6,25,1244,United Kingdom,GB-ENG-LND,England,London,Hampstead Heath,51.5618116,-0.1633787,"",,Unspecified,"","",,,,,,,S113769033,"",,,,,Pica pica,eurmag4,Group,21078,,5.00,4,,1977,2966
441200591,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Tomáš Grim,2022-04-26,2022,4,26,1115,Czech Republic,CZ-PR,Hlavní město Praha,,Olšanské hřbitovy,50.0801691,14.4622525,"","",Unspecified,"","",,,,,,,S108127459,"",,,,,Pica pica,eurmag4,Group,21078,,5.00,4,Habitat,3185,3228
106125761,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Bill Asteriades,2018-06-20,2018,6,20,700,Russia,RU-LEN,Leningrad Oblast,,Ладожское Озеро--Хутор Гумбарицы (Ladoga Lake--Gumbaritsy),60.6777400,32.9428500,"",,Unspecified,"","",,,,,,,S46691338,"",,,,,Pica pica,eurmag4,Group,21078,,5.00,4,,2552,3829
204661061,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Lukasz Pulawski,2015-12-06,2015,12,6,0,United Kingdom,GB-SCT-EDH,Scotland,Edinburgh,"Edinburgh City Council (55.9503, -3.2042)",55.9503000,-3.2042000,"",,Unspecified,"","",,IBC1521907,,,,,S64986194,"",,,"Close-up - preening. Elevation: 58 m. Date added to IBC: October 11, 2018.",IBC scientific name: Pica pica pica.,Pica pica,eurmag4,Group,21078,,4.43,7,,1417,1781
454402981,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Tomáš Grim,2022-05-17,2022,5,17,537,Türkiye,TR-63,Şanlıurfa,,Birecik--kuzey bağları,37.0591841,37.9693723,Adult – 3,Flying,Unspecified,"","",,,,,,,S110454436,"",,,,,Pica pica,eurmag4,Group,21078,,4.75,4,"",1904,2855
205900291,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,A Emmerson,2015-06-24,2015,6,24,0,United Kingdom,GB-ENG-LND,England,London,"Regent's Park (please do not list exotic waterfowl)",51.5316000,-0.1559000,Adult – 1,,Unspecified,"","",,IBC1098816,,,,,S65182720,"",,,"An adult bird. Elevation: 31 m. Date added to IBC: June 22, 2016.",IBC scientific name: Pica pica pica.,Pica pica,eurmag4,Group,21078,,4.17,6,,1305,1400
204989981,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Eric Francois Roualet,2015-03-08,2015,3,8,0,Norway,NO-03,Oslo,,Linderud Gård,59.9417000,10.8336000,Adult Male – 1,,Unspecified,"","",,IBC1341417,,,,,S65088528,"",,,"A side view of a male. Elevation: 161 m. Date added to IBC: March 17, 2017.",IBC scientific name: Pica pica pica.,Pica pica,eurmag4,Group,21078,,4.29,7,,1048,1600
204661071,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Lukasz Pulawski,2016-02-14,2016,2,14,0,United Kingdom,GB-SCT-EDH,Scotland,Edinburgh,"Liberton (55.8952, -3.1534)",55.8952000,-3.1534000,"",Flying,Unspecified,"","",,IBC1521909,,,,,S64985935,"",,,"In flight. Elevation: 125 m. Date added to IBC: October 11, 2018.",IBC scientific name: Pica pica pica.,Pica pica,eurmag4,Group,21078,,4.11,9,"",1805,2528
205844401,Photo,Eurasian Magpie (Eurasian),Pica pica [pica Group],,Imran Shah,2015-11-21,2015,11,21,0,India,IN-LA-LE,Ladakh,Leh,"Aliabad (36.3019, 74.6137)",36.3019000,74.6137000,"",,Unspecified,"","",,IBC1108953,,,,,S65184269,"",,,"Common Magpie (Pica pica) captured at Aliabad, Hunza, Gilgit-Baltistan, Pakistan with Canon EOS 70D. Elevation: 2167 m. Date added to IBC: June 22, 2016.",IBC scientific name: Pica pica bactriana.,Pica pica,eurmag4,Group,21078,,4.20,5,,1500,2000
