ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
413988131,Photo,White-faced Storm-Petrel,Pelagodroma marina,,JJ Harrison,2022-02-05,2022,2,5,705,Australia,AU-TAS-TAS,Tasmania,Tasman,Eaglehawk Neck Pelagic Trip,-43.0906763,148.3212687,"",,Unspecified,"","",,,,,,,S102190189,"",,,,"42 pelagic with max count of 25 at any one time, 25 in offshore waters in PM",Pelagodroma marina,wfspet,Species,6864,,4.97,1451,,2053,3080
180854341,Photo,Spoon-billed Sandpiper,Calidris pygmaea,Calidris pygmaea -- Spoon-billed Sandpiper,Lefei Han,2019-10-03,2019,10,3,633,China,CN-32,Jiangsu,,弶港 (Jianggang),32.7500000,120.9600000,"",,Unspecified,"","",,,,,,,S60307730,"",,,,,Calidris pygmaea,spbsan1,Species,6151,,4.96,1580,,1367,2430
299840341,Photo,Chatham Albatross,Thalassarche eremita,,Michael Stubblefield,2014-11-24,2014,11,24,600,New Zealand,NZ-CI,Chatham Islands,,"Chatham Islands, The Pyramid -- Offshore",-44.4320000,-176.2369000,Adult,"Flying; Foraging or Eating",Unspecified,"","",,,,,,,S63184551,"",,,"Chatham Albatross (Thalassarche eremita), adult in flight near the Pyramid off the Chatham Islands, New Zealand.",,Thalassarche eremita,shyalb2,Species,6844,,4.98,562,Habitat,2945,4418
181863991,Photo,White-tailed Ptarmigan,Lagopus leucura,,Andrew Spencer,2015-04-29,2015,4,29,1030,United States,US-CO-117,Colorado,Summit,Loveland Pass (Summit Co.),39.6626400,-105.8794200,Adult Male – 1,,Unspecified,"","",,,,,,,S30782988,"",,,,,Lagopus leucura,whtpta1,Species,1291,,4.97,669,,3037,4671
351087111,Photo,Green Broadbill,Calyptomena viridis,,Saravanan Krishnamurthy,2021-06-28,2021,6,28,1449,Singapore,SG-,Singapore,,Pulau Ubin,1.4036084,103.9688244,"",,Unspecified,"","",,,,,,,S90967987,"",,,,photo,Calyptomena viridis,grebro1,Species,12996,,4.98,526,,1468,2200
155550701,Photo,Barn Owl,Tyto alba,,Sharif Uddin,2019-04-19,2019,4,19,1830,United States,US-HI-007,Hawaii,Kauai,Kaumualii Hwy,22.0036810,-159.7614330,"",,Unspecified,"","",,,,,,,S55287272,"",,,,,Tyto alba,brnowl,Species,8416,,4.97,548,,2791,4187
372577651,Photo,Red-legged Cormorant,Poikilocarbo gaimardi,,Jory Teltser,2021-09-23,2021,9,23,750,Peru,PE-LIM,Lima,,Isla Pucusana,-12.4758920,-76.8004203,"",,Unspecified,"","",,,,,,,S95051528,"",,,,,Poikilocarbo gaimardi,relcor1,Species,7215,,4.97,734,,2224,3336
500057771,Photo,Wine-throated Hummingbird,Selasphorus ellioti,,Daniel López-Velasco | Ornis Birding Expeditions,2022-11-02,2022,11,2,725,Mexico,MX-CHP-084,Chiapas,San Cristóbal de las Casas,"Parque Ecoturístico Montetik--Entrada El Aguaje (subida hacia Corralito, acceso restringido",16.6831572,-92.5963194,"",,Unspecified,"","",,,,,,,S121756775,"",,,,,Selasphorus ellioti,withum1,Species,4819,,4.96,814,,1280,1920
406572681,Photo,Ruby-crowned Kinglet,Corthylio calendula,,Nico Sarbanes,2022-01-15,2022,1,15,1107,United States,US-MD-005,Maryland,Baltimore,Patapsco Ponds #4 & #5 (Halethorpe Farms Ponds) ,39.2233189,-76.6837174,"",,Unspecified,"","",,,,,,,S100783351,"",,,,,Corthylio calendula,ruckin,Species,26391,,4.97,569,,2987,4480
31723481,Photo,King Eider,Somateria spectabilis,,Ian Davies,2013-06-20,2013,6,20,0,United States,US-AK-185,Alaska,North Slope Borough,Arctic NWR--Canning River Delta,70.1179003,-145.8491179,Adult Male,,Unspecified,"","",,,,,,,S30886195,"",,,,,Somateria spectabilis,kineid,Species,674,,4.96,681,,2896,4672
