ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
89106211,Photo,Eurasian Blackbird,Turdus merula,,Hayley Alexander,2018-03-06,2018,3,6,1836,New Zealand,NZ-BOP-023,Bay of Plenty,Tauranga City,"2 Thirteenth Avenue, Tauranga South NZ-Bay of Plenty (-37.7072,176.1664)",-37.7071660,176.1664450,"",,Unspecified,"","",,,,,,,S43445458,"",,,,,Turdus merula,eurbla,Species,27987,,4.26,23,,2723,4085
293127651,Photo,Eurasian Blackbird,Turdus merula,,Michael Stubblefield,2014-11-10,2014,11,10,900,New Zealand,NZ-STL-075,Southland,Invercargill City,"Queens Park, Invercargill, NZ",-46.4047897,168.3598566,Adult Female,Foraging or Eating,Unspecified,"","",,,,,,,S78393022,"",,,"Eurasian Blackbird (Turdus merula merula), adult female foraging in Queens Park, Invercargill, Southland, New Zealand.",,Turdus merula,eurbla,Species,27987,,5.00,6,Habitat,3456,5184
293127361,Photo,Eurasian Blackbird,Turdus merula,,Michael Stubblefield,2014-11-10,2014,11,10,900,New Zealand,NZ-STL-075,Southland,Invercargill City,"Queens Park, Invercargill, NZ",-46.4047897,168.3598566,Adult Male,Foraging or Eating,Unspecified,"","",,,,,,,S78393022,"",,,"Eurasian Blackbird (Turdus merula merula), adult male foraging in Queens Park, Invercargill, Southland, New Zealand.",,Turdus merula,eurbla,Species,27987,,5.00,6,Habitat,2310,3464
53260091,Photo,Eurasian Blackbird,Turdus merula,,Eric VanderWerf,2017-03-20,2017,3,20,1045,New Zealand,NZ-WGN-047,Wellington,Wellington City,Zealandia Te Mara a Tane Wildlife Sanctuary (General),-41.2954325,174.7487384,"",,Unspecified,"","",,,,,,,S35299519,"",,,,,Turdus merula,eurbla,Species,27987,,4.40,10,,2254,3381
293127371,Photo,Eurasian Blackbird,Turdus merula,,Michael Stubblefield,2014-11-10,2014,11,10,900,New Zealand,NZ-STL-075,Southland,Invercargill City,"Queens Park, Invercargill, NZ",-46.4047897,168.3598566,Adult Male,Foraging or Eating,Unspecified,"","",,,,,,,S78393022,"",,,"Eurasian Blackbird (Turdus merula merula), adult male foraging in Queens Park, Invercargill, Southland, New Zealand.",,Turdus merula,eurbla,Species,27987,,5.00,5,Habitat,3046,4569
293101141,Photo,Eurasian Blackbird,Turdus merula,,Michael Stubblefield,2014-11-09,2014,11,9,800,New Zealand,NZ-STL-075,Southland,Invercargill City,"Queens Park, Invercargill, NZ",-46.4047897,168.3598566,Immature Male,Foraging or Eating,Unspecified,"","",,,,,,,S63109270,"",,,"Eurasian Blackbird (Turdus merula merula), immature male resting in a tree in Queens Park, Invercargill, Southland, New Zealand.",,Turdus merula,eurbla,Species,27987,,5.00,5,Habitat,2838,4255
293100991,Photo,Eurasian Blackbird,Turdus merula,,Michael Stubblefield,2014-11-09,2014,11,9,800,New Zealand,NZ-STL-075,Southland,Invercargill City,"Queens Park, Invercargill, NZ",-46.4047897,168.3598566,Adult Male,Foraging or Eating,Unspecified,"","",,,,,,,S63109270,"",,,"Eurasian Blackbird (Turdus merula merula), adult male foraging in Queens Park, Invercargill, Southland, New Zealand.",,Turdus merula,eurbla,Species,27987,,5.00,5,Habitat,3456,5184
426178641,Photo,Eurasian Blackbird,Turdus merula,,Louise Thomas,2022-03-17,2022,3,17,1210,New Zealand,NZ-WGN-046,Wellington,Lower Hutt City,"42 Ludlam Crescent, Lower Hutt, Wellington, NZ (-41.219, 174.908)",-41.2194910,174.9081873,"",,Unspecified,"","",,,,,,,S104968736,"",,,,,Turdus merula,eurbla,Species,27987,,4.80,5,,800,1066
209825001,Photo,Eurasian Blackbird,Turdus merula,,Zebedee Muller,2016-07-03,2016,7,3,0,New Zealand,NZ-WGN-047,Wellington,Wellington City,Zealandia Te Mara a Tane Wildlife Sanctuary (General),-41.2954325,174.7487384,"",,Unspecified,"","",,,,,,,S50929421,"",,,,,Turdus merula,eurbla,Species,27987,,4.80,5,,954,1242
293127501,Photo,Eurasian Blackbird,Turdus merula,,Michael Stubblefield,2014-11-10,2014,11,10,900,New Zealand,NZ-STL-075,Southland,Invercargill City,"Queens Park, Invercargill, NZ",-46.4047897,168.3598566,Juvenile,Foraging or Eating,Unspecified,"","",,,,,,,S78393022,"",,,"Eurasian Blackbird (Turdus merula merula), juvenile in Queens Park, Invercargill, Southland, New Zealand.",,Turdus merula,eurbla,Species,27987,,5.00,4,Habitat,3139,4709
293127261,Photo,Eurasian Blackbird,Turdus merula,,Michael Stubblefield,2014-11-10,2014,11,10,900,New Zealand,NZ-STL-075,Southland,Invercargill City,"Queens Park, Invercargill, NZ",-46.4047897,168.3598566,Adult Male,Foraging or Eating,Unspecified,"","",,,,,,,S78393022,"",,,"Eurasian Blackbird (Turdus merula merula), adult male foraging in Queens Park, Invercargill, Southland, New Zealand.",,Turdus merula,eurbla,Species,27987,,5.00,4,Habitat,3456,5184
