ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
204246231,Photo,Great Tit (Great),Parus major [major Group],,Ivan Sjögren,2016-10-26,2016,10,26,0,Sweden,SE-H,Kalmar län [SE-08],,Ottenby--södra udde,56.1955315,16.3988113,"",,Unspecified,"","",,IBC1277430,,,,,S64976221,"",,,"Great Tit (Parus major). Elevation: 11 m. Date added to IBC: November 1, 2018.",IBC scientific name: Parus major major.,Parus major,gretit3,Group,21787,,4.83,48,,,
548295401,Photo,Great Tit (Great),Parus major [major Group],,Wouter Van Gasse,2023-03-21,2023,3,21,1611,Germany,DE-SN-C1,Sachsen,Chemnitz (Kreisfreie Stadt),Chemnitz - Annenstraße,50.8291532,12.9254918,Adult Female – 1,,Unspecified,"","",,,,,,,S131458392,"",,,,,Parus major,gretit3,Group,21787,,5.00,14,,2094,3350
204622931,Photo,Great Tit (Great),Parus major [major Group],,Pavel Štěpánek,2018-11-04,2018,11,4,0,Czech Republic,CZ-JM,Jihomoravský kraj,,Vini?né Šumice,49.2123000,16.8190000,"",,Unspecified,"","",,IBC1527825,,,,,S64997156,"",,,"Great Tit (Parus major). Elevation: 289 m. Date added to IBC: November 5, 2018.",IBC scientific name: Parus major major.,Parus major,gretit3,Group,21787,,5.00,8,,2477,3800
35494251,Photo,Great Tit (Great),Parus major [major Group],,Ryan Schain,2016-09-19,2016,9,19,1623,Ireland,IE-M-CE,Munster,Clare,Bunratty Castle & Hotel,52.6960972,-8.8137762,"",,Unspecified,"","",,,,,,,S31659668,"",,,,,Parus major,gretit3,Group,21787,,4.57,14,,1835,2878
126037001,Photo,Great Tit (Great),Parus major [major Group],,Roksana and Terry,2018-12-01,2018,12,1,935,Serbia,RS-00,Beograd,,Botanical Garden Jevremovac,44.8156750,20.4733443,"",,Unspecified,"","",,,,,,,S50338575,"",,,,,Parus major,gretit3,Group,21787,,4.41,17,,1600,1600
204970551,Photo,Great Tit (Great),Parus major [major Group],,Marc FASOL,2017-12-10,2017,12,10,0,Belgium,BE-WAL,"Wallonne, Région",,"Luxembourg Province (50.1659, 4.9555)",50.1659000,4.9555000,"",,Unspecified,"","",,IBC1442082,,,,,S65086672,"",,,"Perched. Elevation: 280 m. Date added to IBC: December 11, 2017.",IBC scientific name: Parus major newtoni.,Parus major,gretit3,Group,21787,,5.00,7,,2417,3631
79917261,Photo,Great Tit (Great),Parus major [major Group],,"Ryan O'Donnell",2017-12-27,2017,12,27,1041,France,FR-BRE-35,Bretagne,Ille-et-Vilaine,Chez Cobbolds,48.1157820,-1.6312390,"",,Unspecified,"","",,,,,,,S41339538,"",,,,,Parus major,gretit3,Group,21787,,4.20,20,,2980,4233
204873261,Photo,Great Tit (Great),Parus major [major Group],,Luis Mario Arce,2015-02-15,2015,2,15,0,Spain,ES-AS,"Asturias, Principado de",,Xixón--Cerru Santa Catalina,43.5483077,-5.6642761,"",,Unspecified,"","",,IBC1081373,,,,,S65011908,"",,,"Adult bird extremely tame. Elevation: 5 m. Date added to IBC: June 22, 2016.",IBC scientific name: Parus major major.,Parus major,gretit3,Group,21787,,4.08,13,,1248,1708
414573741,Photo,Great Tit (Great),Parus major [major Group],,Bill Elrick,2022-01-31,2022,1,31,1125,United Kingdom,GB-SCT-RFW,Scotland,Renfrewshire,Lochwinnoch RSPB Reserve,55.7904732,-4.6206093,"",,Unspecified,"","",,,,,,,S101860977,"",,,,,Parus major,gretit3,Group,21787,,5.00,5,,1920,2560
386725651,Photo,Great Tit (Great),Parus major [major Group],,Wouter Van Gasse,2021-11-09,2021,11,9,1344,Germany,DE-SN-C1,Sachsen,Chemnitz (Kreisfreie Stadt),Chemnitz - Annenstraße,50.8291532,12.9254918,"",,Unspecified,"","",,,,,,,S97359794,"",,,,,Parus major,gretit3,Group,21787,,5.00,5,,2250,3600
206026201,Photo,Great Tit (Great),Parus major [major Group],,Lars Petersson | My World of Bird Photography,2017-04-04,2017,4,4,0,Cyprus,CY-05,Pafos,,Baths of Aphrodite (Λουτρά της Αφροδίτης),35.0585456,32.3451516,"",,Unspecified,"","",,IBC1372676,,,,,S65190784,"",,,"Female of Great Tit perched. Go to www.larsfoto.se for more than 4200 species of Birds on photo from Cyprus and all over the World!. Elevation: 52 m. Date added to IBC: April 28, 2017.",IBC scientific name: Parus major aphrodite.,Parus major,gretit3,Group,21787,,5.00,5,,687,1000
204644931,Photo,Great Tit (Great),Parus major [major Group],,Lukasz Pulawski,2017-12-02,2017,12,2,0,United Kingdom,GB-SCT-MLN,Scotland,Midlothian,Straiton Pond LNR,55.8883334,-3.1503725,Unknown – 1,,Unspecified,"","",,IBC1536850,,,,,S64998641,"",,,"Lateral view. Elevation: 132 m. Date added to IBC: November 28, 2018.",IBC scientific name: Parus major newtoni.,Parus major,gretit3,Group,21787,,5.00,5,,2337,3160
204643381,Photo,Great Tit (Great),Parus major [major Group],,Lukasz Pulawski,2017-04-16,2017,4,16,0,United Kingdom,GB-SCT-ELN,Scotland,East Lothian,"Seton Sands (55.9678, -2.937)",55.9678000,-2.9370000,"",,Unspecified,"","",,IBC1536845,,,,,S64997827,"",,,"Frontal view. Elevation: 12 m. Date added to IBC: November 28, 2018.",IBC scientific name: Parus major newtoni.,Parus major,gretit3,Group,21787,,5.00,5,,3265,4713
204643371,Photo,Great Tit (Great),Parus major [major Group],,Lukasz Pulawski,2017-04-16,2017,4,16,0,United Kingdom,GB-SCT-EDH,Scotland,Edinburgh,Burdiehouse Burn Valley Park LNR,55.8989532,-3.1510581,Unknown – 1,,Unspecified,"","",,IBC1536844,,,,,S64997829,"",,,"Lateral view. Elevation: 111 m. Date added to IBC: November 28, 2018.",IBC scientific name: Parus major newtoni.,Parus major,gretit3,Group,21787,,5.00,5,,3561,5001
