ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
449403701,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Alexis Lours,2022-05-05,2022,5,5,1503,France,FR-IDF-92,Île-de-France,Hauts-de-Seine,Parc départemental des Chanteraines,48.9382984,2.3139322,Adult – 1,,Unspecified,"","",,,,,,,S109011019,"",,,,,Columba palumbus,comwop1,Group,1907,,4.87,62,,3648,5472
204648911,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Lukasz Pulawski,2016-05-22,2016,5,22,0,United Kingdom,GB-SCT-EDH,Scotland,Edinburgh,Burdiehouse Burn Valley Park LNR,55.8989532,-3.1510581,Unknown – 1,,Unspecified,"","",,IBC1511150,,,,,S64986652,"",,,"Lateral view. Elevation: 105 m. Date added to IBC: August 2, 2018.",IBC scientific name: Columba palumbus palumbus.,Columba palumbus,comwop1,Group,1907,,4.64,14,,4000,6000
433150311,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Alexis Lours,2021-04-11,2021,4,11,847,France,FR-IDF-95,Île-de-France,"Val-d'Oise",Bois des Éboulures (Franconville),48.9968754,2.2111326,Adult – 1,,Unspecified,"","",,,,,,,S106524075,"",,,,,Columba palumbus,comwop1,Group,1907,,4.15,55,,3672,4896
165123671,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,James Kennerley,2019-06-20,2019,6,20,642,United Kingdom,GB-ENG-SFK,England,Suffolk,Boyton Marshes RSPB Reserve,52.0738945,1.4857399,Adult,,Unspecified,"","",,,,,,,S57529765,"",,,,,Columba palumbus,comwop1,Group,1907,,4.78,9,,3392,5088
165123501,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,James Kennerley,2019-06-20,2019,6,20,642,United Kingdom,GB-ENG-SFK,England,Suffolk,Boyton Marshes RSPB Reserve,52.0738945,1.4857399,Adult,,Unspecified,"","",,,,,,,S57529765,"",,,,,Columba palumbus,comwop1,Group,1907,,4.42,12,,2548,4077
521758931,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Tomáš Grim,2022-07-27,2022,7,27,857,Portugal,PT-11-LI,Lisboa,Lisboa,Parque Eduardo VII,38.7282420,-9.1540682,Adult – 1,"",Unspecified,"","",,,,,,,S115847461,"",,,,,Columba palumbus,comwop1,Group,1907,,4.67,6,Habitat,2507,4521
359076661,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Josep del Hoyo,2021-07-25,2021,7,25,1721,Spain,ES-AR-ZG,Aragón,Zaragoza,Farlete--Partasona,41.6593481,-0.5430546,Adult – 1,,Unspecified,"","",,,,,,,S92293985,"",,,"A bird about to drink, on a pond. Videograb.",,Columba palumbus,comwop1,Group,1907,,4.80,5,,2160,3424
614489028,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Tomáš Grim,2023-04-19,2023,4,19,1455,Spain,ES-AN-GD,Andalucía,Granada,Granada--Alhambra,37.1778641,-3.5882753,Adult – 1,Foraging or Eating,Unspecified,"","",,,,,,,S134284368,"",,,,,Columba palumbus,comwop1,Group,1907,,5.00,4,"",2046,3125
490938831,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Itamar Donitza,2022-10-03,2022,10,3,725,Romania,RO-B,Bucuresti,,Parcul Tineretului,44.4050285,26.1017854,"",,Unspecified,"","",,,,,,,S119901906,"",,,,,Columba palumbus,comwop1,Group,1907,,5.00,4,,3746,2497
204551141,Photo,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],,Pierandrea Brichetti,2004-03-17,2004,3,17,0,Italy,IT-25,Lombardia,,"Verolavecchia (45.3285, 10.0557)",45.3285000,10.0557000,"",,Unspecified,"","",,IBC1044102,,,,,S64996099,"",,,"An adult before drinking. Elevation: 64 m. Date added to IBC: June 21, 2016.",IBC scientific name: Columba palumbus palumbus.,Columba palumbus,comwop1,Group,1907,,4.00,8,,862,1200
